Date,Mission success,Country/organization,Mission name
1/1/1969,"First to parachute in Venus's atmosphere, lost contact before landing.",USSR,Venera 5
5/23/1969,First docking of two crewed spacecraft around another celestial body.,USA (NASA),Apollo 10
7/20/1969,"First human on the Moon, and first space launch from a celestial body other than the Earth",USA (NASA),Apollo 11
,First sample return from the Moon.,,
8/4/1969,First photograph of Phobos from Space,USA (NASA),Mariner 7
11/19/1969,First rendezvous on the surface of a celestial body,USA (NASA),Apollo 12/Surveyor 3
9/24/1970,First automatic sample return from the Moon,USSR,Luna 16
11/17/1970,First lunar rover,USSR,Lunokhod 1
12/12/1970,First X-ray orbital observatory,USA (NASA),Uhuru (satellite)
12/15/1970,First soft landing on another planet (Venus),USSR,Venera 7
,First signals from another planet,,
4/19/1971,First space station,USSR,Salyut 1
6/1/1971,First crewed orbital observatory,USSR,Orion 1
11/14/1971,First to maintain orbit around another planet (Mars),USA (NASA),Mariner 9
11/27/1971,First impact into Mars,USSR,Mars 2
12/2/1971,First soft Mars landing,USSR,Mars 3
,First signals from Mars surface,,
,First photograph from Martian surface.,,
3/3/1972,First human made object sent on escape trajectory away from the Sun,USA (NASA),Pioneer 10
7/15/1972,First mission to enter the asteroid belt and leave inner Solar System,USA (NASA),Pioneer 10
11/15/1972,First orbital gamma ray observatory,USA (NASA),SAS 2
5/14/1973,Launch of Skylab - first American space station,USA (NASA),Skylab
12/3/1973,"First Jupiter flyby (at 130,000�km)",USA (NASA),Pioneer 10
2/5/1974,"Venus flyby at 5768 kilometers, first gravitational assist manoeuvre",USA (NASA),Mariner 10
,,,
,First photograph of Venus from Space,,
3/29/1974,First Mercury flyby at 703 kilometers,USA (NASA),Mariner 10
5/30/1975,"Formation of European Space Agency, which pools the resources of several European countries.",ESA,
7/15/1975,First multinational crewed mission,USSR USA (NASA),Apollo-Soyuz Test Project
10/20/1975,First orbit around Venus,USSR,Venera 9
10/22/1975,First successful photos from the surface of another planet (Venus),USSR,Venera 9
4/17/1976,Closest flyby of the Sun (43.432 million kilometers),USA (NASA) West Germany (DFVLR),Helios 2
,"Maximum speed record among spacecraft (252,792�km/h)",,
7/20/1976,First successful photos and soil samples from the surface of Mars,USA (NASA),Viking Lander
1/26/1978,First real time remotely operated ultraviolet orbital observatory,USA (NASA) ESA UK (SERC),International Ultraviolet Explorer
12/4/1978,First extended (multi-year) orbital exploration of Venus from 1978 to 1992,USA (NASA),Pioneer Venus Orbiter
3/5/1979,"Jupiter flyby (closest approach 349,000�km)",USA (NASA),Voyager 1
,"encounters with Five Jovian moons, discovery of volcanism on Io",,
9/1/1979,"First Saturn flyby at 21,000�km, first photographs of Titan from Space",USA (NASA),Pioneer 11
11/12/1980,"Saturn flyby (closest approach 124,000 kilometers), close encounter of Titan and encounters with a dozen others.",USA (NASA),Voyager 1
4/12/1981,First Reusable crewed orbital spacecraft,USA (NASA),STS-1
3/1/1982,First Venus soil samples and sound recording of another world,USSR,Venera 13
8/19/1982,"First mixed gender crew aboard space station, and first woman, Svetlana Savitskaya, on space station.",USSR,Salyut 7
1/25/1983,First Infrared orbital observatory,USA (NASA) UK (SERC) Netherlands (NIVR),IRAS
6/13/1983,First spacecraft beyond the orbit of Neptune (first spacecraft to pass beyond all Solar System planets),USA (NASA),Pioneer 10
2/7/1984,"First untethered spacewalk, Bruce McCandless II",USA (NASA),STS-41-B
7/25/1984,"First spacewalk by woman, Svetlana Savitskaya",USSR,Salyut 7
6/11/1985,First balloon deployed on another planet (Venus),USSR,Vega 1
1/24/1986,"First Uranus flyby (closest approach 81,500 kilometers (44,000�nmi)",USA (NASA),Voyager 2
1/28/1986,"First major American space loss, the Space Shuttle Challenger disaster, an explosion soon after liftoff which killed, among others, Christa McAuliffe, a high school teacher",USA (NASA),STS-51-L
2/19/1986,First consistently inhabited long-term research space station,USSR,Mir
3/4/1986,"First flyby of a comet (Halley's Comet, 8,889 kilometers)",USSR,Vega 1 & Vega 2
3/13/1986,"First close up observations of a comet (Halley's Comet, 596 kilometers)",ESA,Giotto
7/1/1988,"First suspected detection of an exoplanet Gamma Cephei Ab, although the discovery was retracted in 1994, and not confirmed until 2002.",Canada,"Team of astronomers, led by Bruce Campbell, Gordon Walker, and Stephenson Yang; existence announced by Anthony Lawton & P. Wright in 1989"
