Date,Payload ,Vehicle,Company,Site
"19930325Mar 25, 1993",UHF-1,Atlas I,General Dynamics,FL
"19930219Feb 19, 1993",CONSORT-6,Starfire 1,EER Systems Corporation,NM
"19930209Feb 9, 1993",SCD-1/OXP,Pegasus,Orbital ATK,VA
"19921012Oct 12, 1992",KOPERNIKUS,Delta II,McDonnell Douglas Corporation,FL
"19920910Sep 10, 1992",CONSORT-5,Starfire 1,EER Systems Corporation,NM
"19920831Aug 31, 1992",SATCOM C4,Delta II,McDonnell Douglas Corporation,FL
"19920822Aug 22, 1992",GALAXY 1R,Atlas I,General Dynamics,FL
"19920610Jun 10, 1992",INTELSAT K,Atlas IIA,General Dynamics,FL
"19920514May 14, 1992",PALAPA B-4,Delta II,McDonnell Douglas Corporation,FL
"19920314Mar 14, 1992",GALAXY 5,Atlas I,General Dynamics,FL
"19911207Dec 7, 1991",EUTELSAT,Atlas II,General Dynamics,FL
"19911116Nov 16, 1991",CONSORT-4,Starfire 1,EER Systems Corporation,NM
"19910912Sep 12, 1991",ZEST-2,TalosCastor 1,Orbital ATK,HI
"19910902Sep 2, 1991",ZEST-1,TalosCastor 1,Orbital ATK,HI
"19910618Jun 18, 1991",JOUST-1,Prospector,Space Data,FL
"19910529May 29, 1991",AURORA II,Delta II,McDonnell Douglas Corporation,FL
"19910418Apr 18, 1991",BS-3H,Atlas I,General Dynamics,FL
"19910413Apr 13, 1991",ASC-2,Delta II,McDonnell Douglas Corporation,FL
"19910308Mar 8, 1991",INMARSAT 2 FLT 2,Delta II,McDonnell Douglas Corporation,FL
"19910108Jan 8, 1991",NATO IVA,Delta II,McDonnell Douglas Corporation,FL
"19901030Oct 30, 1990",INMARSAT 2 FLT 1,Delta II,McDonnell Douglas Corporation,FL
"19900817Aug 17, 1990",BSB-R2,Delta II,McDonnell Douglas Corporation,FL
"19900725Jul 25, 1990",CRRES,Atlas I,General Dynamics,FL
"19900623Jun 23, 1990",INTELSAT VI,Titan,Martin Marrietta,FL
"19900612Jun 12, 1990",INSAT-1D,Delta 4925,McDonnell Douglas Corporation,FL
"19900517May 17, 1990",CONSORT-3,Starfire 1,Space Services,NM
"Apr 13, 1990",PALAPA B2-R,Delta II,McDonnell Douglas Corporation,FL
"19900314Mar 14, 1990",INTELSAT VI,Titan,Martin Marrietta,FL
"19900214Feb 14, 1990",LOSAT,Delta II,McDonnell Douglas Corporation,FL
"19900101Jan 1, 1990",JCSAT/SKYNET,Titan,Martin Marrietta,FL
"19891115Nov 15, 1989",CONSORT-2,Starfire 1,Space Services,NM
"19891005Oct 5, 1989",SET-1,SMLV,American Rocket,CA
"19890827Aug 27, 1989",BSB-R1,Delta II,McDonnell Douglas Corporation,FL
"19890329Mar 29, 1989",CONSORT-1,Starfire,Space Services,NM
